ISO3,Country,female_share_of_employment_in_agriculture,total_share_of_employment_in_agriculture
ABW,Aruba,0.08646186856519171,0.12348937913026845
AFG,Afghanistan,0.02920227339058227,0.09685694040944974
AGO,Angola,0.20253880764659452,0.18649257447859416
ALB,Albania,0.15895109729983045,0.1541440912542529
ARE,United Arab Emirates,0.00021247579251126,0.015125974786746748
ARG,Argentina,0.0188619673395388,0.03831630265490045
ARM,Armenia,0.25195792036407755,0.21820392607155123
ATG,Antigua and Barbuda,0.06576071312712242,0.10499673019036464
AUS,Australia,0.00822251042468544,0.0129372871297533
AUT,Austria,0.01546139996976868,0.01857282972787078
AZE,Azerbaijan,0.18316159512153757,0.16726247713791156
BDI,Burundi,0.40000562732124667,0.36101377056482215
BEL,Belgium,0.00298102235553897,0.00499165462543316
BEN,Benin,0.09143182176577222,0.14026236703690084
BFA,Burkina Faso,0.08304766498329695,0.10550665015973437
BGD,Bangladesh,0.14995915390739673,0.15989763519607056
BGR,Bulgaria,0.01642004706294763,0.027838301236843287
BHR,Bahrain,0.00016819538287856,0.00521945182430016
BHS,Bahamas,0.00585488956544945,0.016854470714076274
BIH,Bosnia and Herzegovina,0.05848349710819027,0.06193517319381562
BLR,Belarus,0.03466148204470753,0.0525972963584924
BLZ,Belize,0.013634509144703011,0.06760358605372262
BMU,Bermuda,0.014153978265794809,0.046095694270956986
BOL,Bolivia (Plurinational State of),0.12234164885258983,0.13671761692582637
BRA,Brazil,0.01894887538000278,0.04360323967946515
BRB,Barbados,0.00700728804152474,0.013835997947167531
BRN,Brunei Darussalam,0.00243698595745191,0.00678841298037393
BTN,Bhutan,0.24941867182771374,0.24031096563508964
BWA,Botswana,0.03018990470403386,0.06266509273141703
CAF,Central African Republic,0.24997953691636216,0.2572701662968309
CAN,Canada,0.00456078915697154,0.007502292221342299
CHE,Switzerland,0.00978389054239355,0.014191702337683739
CHL,Chile,0.01353607720455249,0.03286773704442893
CHN,China,0.1143474111083614,0.14354381540154093
CIV,Côte d'Ivoire,0.13113111548685014,0.171099992161172
CMR,Cameroon,0.18292135898786227,0.1872044357720363
COD,Democratic Republic of the Congo,0.22854049596710396,0.20705207985055543
COG,Congo,0.10171406709278744,0.10443674287421796
COK,Cook Islands,0.02121965102201531,0.08704314252774287
COL,Colombia,0.02210943100280806,0.0702534126939098
COM,Comoros,0.08706945002034462,0.10623529663591254
CPV,Cabo Verde,0.02845076064292415,0.04709890432816952
