Year,soils_kt,rice_kt,synthetic_fertilizers_kt,crop_residues_kt,livestock_kt,total_kt
1961,556870.894,487037.0568,58041.042,60366.5495,2259852.1877,3422167.73
1962,571969.481,504213.248,64915.8045,63301.08,2281859.2546,3486258.8681000005
1963,586593.0819999999,506798.572,72394.60800000001,65710.937,2299658.031,3531155.2299999995
1964,608215.916,527253.9048,79798.9465,67040.77325,2353443.9336,3635753.47415
1965,631646.5535,527206.9992,90727.308,68110.55175,2400947.8288,3718639.24125
1966,659063.48,534647.9824,105471.9875,69893.697,2448839.9352,3817917.0821
1967,682318.237,539384.7816,114138.203,73690.47125,2498186.0757,3907717.76855
1968,703257.795,548135.1288000001,123994.2685,75192.955,2540600.6244,3991180.7717000004
1969,721157.167,553930.0451999999,133742.532,75915.6895,2569159.6501,4053905.0838
1970,740437.083,561092.0616,147162.5825,75713.9715,2591975.6477,4116381.3463000003
1971,759549.3335,571310.67,154867.56350000002,81315.64749999999,2621987.343,4189030.5575
1972,777703.8475,562093.0784,166244.9675,80016.061,2664028.9259,4250086.8803
1973,801490.8835,579877.4464,178729.72699999998,83833.0945,2703064.8806,4346996.032
1974,809335.334,583262.5652,174023.857,83462.704,2764187.1182,4414271.5784
1975,850259.443,600473.3,199626.514,88110.9895,2805213.883,4543684.1295
1976,861393.4974999999,599865.2744,207210.8935,89675.61575,2810023.6155,4568168.89665
1977,890449.5815,601200.9136,228147.61599999998,90734.37025,2840447.9585,4650980.43985
1978,922952.8385,602865.7348,253511.24300000002,95417.8345,2846946.2177999998,4721693.8686
1979,941932.7744999999,594326.9332,270978.983,95877.7685,2852712.4368,4755828.896
1980,973729.886,608425.9552,286647.5055,96676.65075,2912823.5813,4878303.57875
1981,984567.22,612490.802,286245.792,102160.3885,2937104.1742000002,4922568.3767
1982,994395.116,597817.0324,288020.6295,103700.012,2967146.2744,4951079.064300001
1983,1012959.585,597155.7704,307632.511,100469.0525,2980789.3893,4999006.3082
1984,1049349.332,604790.578,330164.984,109597.269,3003888.0738,5097790.2368
1985,1050203.4005,600364.6054,326598.455,110575.9935,3018231.1803,5105973.6347
1986,1065427.8095,598325.8147999999,334170.989,109820.399,3050004.9545,5157749.9668000005
1987,1084078.642,594979.1652,349982.9825,107108.64074999999,3063024.8446,5199174.275049999
1988,1114051.308,614857.635,372044.418,106290.95675,3093502.5218,5300746.83955
1989,1138537.626,627594.9666,377145.3765,112978.192,3141517.1176,5397773.2787
1990,1209667.9985,622134.6656,374815.3375,115863.7505,3168931.5531,5491413.3052
1991,1200996.165,618901.2186,371910.328,114637.251,3153044.5802,5459489.5428
1992,1344192.2805,630713.8306,410014.89,131557.6335,3542856.7229,6059335.3575
1993,1330809.0915,624974.8652,400660.125,128914.709,3529530.9299,6014889.7206
1994,1342782.189,631216.4628,403196.7845,131569.6645,3550922.3477,6059687.4485
1995,1375897.278,642514.397,433965.45749999996,127682.3265,3566068.1902,6146127.6492
1996,1421705.0455,651097.3056,458868.0375,135956.7395,3603861.0865,6271488.2146000005
1997,1407054.2025,655285.1928,448708.2025,139563.1775,3537546.0417,6188156.817
1998,1417854.0655,653222.9438,456781.2685,138548.29375,3551111.7321,6217518.303650001
1999,1436289.7975,668177.1404,468841.763,138047.4835,3558910.1482,6270266.3326
2000,1417605.893,657032.1142000001,447068.06450000004,137362.856,3558510.7375,6217579.6652
2001,1429021.6955,645557.9214,452459.48949999997,139994.9155,3562551.302,6229585.3239
2002,1456408.9685,642751.1272,465795.95900000003,139051.436,3623928.2467,6327935.7374
2003,1483627.622,643151.39,480994.027,140344.159,3667361.4883,6415478.6863
2004,1520343.796,655739.3108,493746.1185,151607.719,3710935.9412000002,6532372.885500001
2005,1536296.372,671697.6336000001,497257.8985,151776.0735,3751500.8089,6608528.786499999
2006,1559777.227,674222.0646,513258.36,151526.205,3785668.0119,6684451.8685
2007,1592308.1235,671981.5746,531518.5295000001,154565.914,3821001.6325,6771375.7741
2008,1600886.8095,690214.7112,522246.17949999997,164802.0425,3847974.1537,6826123.896400001
2009,1621034.9980000001,685992.0116,536151.392,162653.873,3868971.1867,6874803.461300001
2010,1647169.086,701832.362,559130.814,162896.56,3869522.9391,6940551.7611
2011,1679159.9655,704528.4316,579412.218,169403.1845,3884105.332,7016609.1316
2012,1688822.9255,707031.15,580026.3025,166847.869,3919473.3987,7062201.645699999
2013,1718370.9025,714796.6756,589723.2885,178689.235,3940634.2069,7142214.3085
2014,1735979.702,707332.346,595835.6195,182651.568,3969620.8023,7191420.0378
2015,1741030.867,696143.854,588527.3435,184470.369,4004772.2494,7214944.6829
2016,1763242.1865,700033.5496,594458.494,188488.829,4051023.0574,7297246.1165
2017,1790558.784,704870.9416,606678.916,192351.8665,4079284.5025,7373745.0106
2018,1784475.1525,708542.2232,600155.729,188413.0655,4084302.6222,7365888.792400001
2019,1796161.361,696716.6164,598252.8169999999,190560.95675,4112247.9177,7393939.66885
2020,1853296.9775,714848.6408,633399.449,194166.57325,4183647.5445,7579359.1850499995
2021,1856511.9045,722373.372,625034.194,198206.89575,4226816.1021,7628942.46835
2022,1848674.3175,716340.884,603919.11325,198719.18050000002,4274616.0974,7642269.59265
2023,1875765.3735,719604.8412,615761.5525,201702.1,4316361.7296,7729195.5967999995
