Year,cropland_global_ha,pastures_global_ha,land_components_total_ha,agricultural_land_global_ha
1961,1069771593.1,2509759836.3,3579531429.4,3574437678.8
1962,1072119597.8,2515299150.5,3587418748.3,3582324997.7
1963,1080548724.0,2517732510.6,3598281234.6,3593187484.0
1964,1095273180.1,2543642424.7,3638915604.7999997,3633821854.2000003
1965,1099346195.4,2550604511.7,3649950707.1,3644407256.5
1966,1106230927.9,2617307471.7,3723538399.6,3720723249.0
1967,1109400231.9,2623248491.7,3732648723.6,3732556873.0
1968,1122418461.5,2648489049.4,3770907510.9,3766538960.3
1969,1131436292.9,2791855997.9,3923292290.8,3912080040.2
1970,1130880018.7,2781423940.9,3912303959.6000004,3907220209.0
1971,1128398013.3,2759553951.7,3887951965.0,3882868214.4
1972,1135042758.9,2768358065.0,3903400823.9,3898317073.3
1973,1138763336.5,2815335123.5,3954098460.0,3949016709.5
1974,1141266326.1,2825481485.2,3966747811.2999997,3961666060.6
1975,1143164127.2,2835006946.9,3978171074.1000004,3973091323.6
1976,1148972614.1,2786926373.5,3935898987.6,3930550512.7
1977,1154186327.4,2828180550.3,3982366877.7000003,3977018402.7
1978,1165954353.6,2824405757.0,3990360110.6,3985011635.6
1979,1164992983.7,2786122984.1,3951115967.8,3945767492.8
1980,1179782236.2,2846162789.8,4025945026.0,4020596551.0
1981,1183805452.7,2808507595.1,3992313047.8,3986964572.9
1982,1188826266.7,2846322458.9,4035148725.6000004,4028017425.6
1983,1191299483.2,2837214761.0,4028514244.2,4021382944.2
1984,1216578394.3,2860612380.5,4077190774.8,4071842299.7
1985,1229082403.6,2876738657.6,4105821061.2,4098689761.2
1986,1231339678.0,2873033125.1,4104372803.1,4097241503.0
1987,1238370937.7,2889291960.8,4127662898.5,4120531598.5
1988,1238593310.9,2904801786.3,4143395097.2000003,4136263797.3
1989,1240611671.8,2914131717.3,4154743389.1000004,4147612088.9
1990,1244171089.8,2919140009.3,4163311099.1000004,4157962624.1
1991,1245485981.6,2877190547.9,4122676529.5,4117327573.9
1992,1477249360.0,3251834200.8,4729083560.8,4722370738.5
1993,1479130786.6,3235278380.0,4714409166.6,4707733414.5
1994,1469176991.2,3228038577.4,4697215568.6,4690576886.7
1995,1471390138.2,3227405718.2,4698795856.4,4692144244.9
1996,1481587744.0,3308528674.4,4790116418.4,4783401877.1
1997,1478740405.9,3305153062.9,4783893468.8,4777115997.8
1998,1487424812.3,3373899063.0,4861323875.3,4854483474.4
1999,1487024640.7,3373168502.2,4860193142.9,4851596987.3
2000,1483736505.9,3339479371.2,4823215877.1,4814666791.9
2001,1482395246.4,3336483010.6,4818878257.0,4810429852.9
2002,1483276189.4,3327900409.0,4811176598.4,4797314207.2
2003,1496035929.9,3324265202.8,4820301132.700001,4804545102.7
2004,1501543857.0,3287566615.5,4789110472.5,4773321613.2
2005,1507512503.9,3289329234.3,4796841738.200001,4780861015.8
2006,1507298539.5,3289232111.5,4796530651.0,4780521141.7
2007,1509218308.4,3279210128.0,4788428436.4,4772594093.7
2008,1509473458.1,3259839113.3,4769312571.4,4753428095.4
2009,1518135633.9,3282860047.5,4800995681.4,4785163022.1
2010,1520992965.5,3282843552.6,4803836518.1,4787961111.9
2011,1531856672.7,3295191138.7,4827047811.4,4811208497.5
2012,1540272125.3,3288984107.2,4829256232.5,4811428282.5
2013,1545401581.9,3276834696.5,4822236278.4,4802624949.8
2014,1549448874.4,3274175499.4,4823624373.8,4803806287.3
2015,1556159460.0,3247526327.2,4803685787.2,4784077696.3
2016,1557888591.2,3241527217.5,4799415808.7,4779806954.6
2017,1561523381.4,3268119585.4,4829642966.8,4810034635.599999
2018,1565610181.5,3252491606.6,4818101788.1,4798498380.5
2019,1564836495.2,3255629016.5,4820465511.7,4801350690.0
2020,1569890489.2,3248232974.6,4818123463.8,4799020167.8
2021,1571912719.8999999,3253272932.3,4825185652.2,4807478245.5
2022,1571495253.0,3250017176.3,4821512429.3,4803973692.7
2023,1571516953.3,3243107164.7,4814624118.0,4793356123.7
