Region,metric,value
Africa,rural_population_pct,57.14495103163992
Africa,employment_in_agri_pct,17.49185232475503
Africa,agriculture_share_gdp_pct,15.281349837035371
Americas,rural_population_pct,18.709087862281162
Americas,employment_in_agri_pct,4.265728889282298
Americas,agriculture_share_gdp_pct,1.8050511246836765
Asia,rural_population_pct,50.21464956738802
Asia,employment_in_agri_pct,13.941607144062687
Asia,agriculture_share_gdp_pct,7.196785986211581
Europe,rural_population_pct,25.29943094553046
Europe,employment_in_agri_pct,2.6137443770175897
Europe,agriculture_share_gdp_pct,1.7255987978396266
Oceania,rural_population_pct,33.02161772351748
Oceania,employment_in_agri_pct,4.489018842472156
Oceania,agriculture_share_gdp_pct,3.0448938192689305
Global,rural_population_pct,44.77935345647916
Global,employment_in_agri_pct,12.139370678008296
Global,agriculture_share_gdp_pct,4.074870343826517
